rrr	26	5550	CIPHER INVERTER	100	1	95	1	1	2
usama	26	5350	★ THE CONDUIT ★	100	1	95	1	26	2
fahad	4	450	SIGNAL TRAINEE	0	0	0	0	0	0
r	1	1850	SIGNAL CADET	0	0	0	0	0	0
a	5	600	SIGNAL TRAINEE	0	0	0	0	0	0
